"textid","textcaption"
"62","ЯРОСЛАВСКАЯ ОБЛ. КАЛИНИНСКАЯ ОБЛАСТЬ, КРЫМСКАЯ АССР. СМОЛЕНСКАЯ ОБЛ.<BR>гор.ГОРЬКИЙ - ГОРЬКОВСКАЯ ж.д."
"63","БАШКИРСКАЯ А.С.С.Р.<BR>ЧЕЛЯБИНСКАЯ ОБЛАСТЬ"
"64","СВЕРДЛОВСКАЯ ОБЛАСТЬ и г.СВЕРДЛОВСК Ж.Д.им.КАГАНОВИЧА"
"65","УКРАИНСКАЯ С.С.Р. ОДЕССКАЯ ж.д. - г.Одесса"
"66","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ<BR>КАРЕЛЬСКАЯ А.С.С.Р."
"67","АРМЯНСКАЯ С.С.Р."
"68","УКРАИНСКАЯ С.С.Р.<BR>ХАРЬКОВ-ЮЖНАЯ Ж.Д. ДНЕПРОПЕТРОВСК-СТАЛИНСКАЯ Ж.Д."
"69","СВЕРДЛОВСКАЯ ОБЛАСТЬ<BR>ОМСК - ОМСКАЯ ЖЕЛ.ДОРОГА"
"70","ЧЕЧЕНО-ИНГУШСКОЙ АССР<BR>КРЫМСКАЯ А.С.С.Р."
"71","АЗЕРБАЙДЖАНСКАЯ ССР"
"72","БЕЛОРУССКАЯ ССР"
"73","ЧЕЛЯБИНСКАЯ ОБЛАСТЬ<BR>ЧЕЛЯБИНСК - ЮЖНО-УРАЛЬСК.ЖЕЛ.ДОР."
"74","ЯРОСЛАВСКАЯ ОБЛАСТЬ. ЯРОСЛАВЛЬ-Ярославск.жел.дор."
"75","ГОМЕЛЬ. БЕЛОРУССКАЯ жел.дор.<BR>КАЗАНЬ. КАЗАНСКАЯ жел.дор."
"76","ГОРЬКОВСКАЯ ОБЛАСТЬ<BR>КРЫМСКАЯ А.С.С.Р."
"77","МОСКВА-ЦЕНТР<BR>МОСКОВСКАЯ ОБЛАСТЬ"
"78","ЯРОСЛАВСКАЯ ОБЛАСТЬ<BR>СТАЛИНГРАДСКАЯ ОБЛАСТЬ<BR>КРЫМСКАЯ АССР"
"79","САРАТОВСКАЯ ОБЛАСТЬ"
"80","МОСКВА-ЦЕНТР<BR>МОСКОВСКАЯ ОБЛАСТЬ<BR>Жел.дор.им.ДЗЕРЖИНСКОГО"
"81","МОСКВА-ЦЕНТР<BR>МОСКОВСКАЯ ОБЛАСТЬ<BR>МОСКВА. ДТО МЕТРО"
"82","ТАМБОВСКАЯ ОБЛАСТЬ<BR>ЯРОСЛАВСКАЯ ОБЛАСТЬ<BR>ЛЕНИНГРАДСКАЯ ОБЛАСТЬ<BR>БЕЛОРУССКАЯ С.С.Р."
"83","ВОРОНЕЖСКАЯ ОБЛАСТЬ<BR>КАЛИНИНСКАЯ ОБЛАСТЬ<BR>СЕВЕРНАЯ ОБЛАСТЬ<BR>КРЫМСКАЯ АССР"
"84","КРАСНОЯРСКИЙ КРАЙ<BR>г.КРАСНОЯРСК. КРАСНОЯРСКАЯ ж.д."
"85","ОРЕНБУРГСКАЯ ОБЛАСТЬ<BR>ОРЕНБУРГ - ОРЕНБУРГСКАЯ ЖЕЛ.ДОР."
"86","СТАЛИНГРАДСКАЯ ОБЛАСТЬ<BR>СТАЛИНГРАД - СТАЛИНГРАДСКАЯ ЖЕЛ.ДОРОГА"
"87","ДАЛЬНЕ-ВОСТОЧНЫЙ КРАЙ<BR>КАМЧАТСКАЯ ОБЛАСТЬ"
