"sublistid","tom","listnum","adate","datetext","alistid","sublistnum","sublisttitle","geography","kat1","kat2","kat3","kat1count","kat2count","kat3count","grif","kind","podp_fin","podp_pb","podp_stalin","podp_molotov","podp_kaganovic","podp_voroshilov","podp_mikoyan","podp_jdanov","podp_ejov","simple"
"1","1","2","0000-00-00","19 марта 1937 г.","4","1","Свердловская область","","1","1","1","111","73","13","","0","","Сталин, Молотов, Каганович, Микоян, Ворошилов","1","1","1","1","1","1","1","1"
"2","1","3","0000-00-00","27 марта 1937 г.","5","1","Западно-Сибирский край","","1","1","1","173","83","22","","0","Курский (нач.4-го отдела ГУГБ комиссар ГБ 3 ранга)","Сталин, Молотов, Ворошилов, Каганович","1","1","1","1","1","1","1","1"
"3","1","4","0000-00-00","апреля 1937 г.","6","1","г.Ленинград","","1","1","1","145","50","1","","0","Гендин (зам.нач.4-го отдела ГУГБ НКВД ст.майор ГБ)","Сталин, Ворошилов, Каганович, Жданов, Молотов","1","1","1","1","1","1","1","1"
"4","1","5","0000-00-00","1 апреля 1937 г.","7","1","Свердловская область","","1","1","1","44","25","3","","0","Агранов (зам.НК ВД СССР, нач.4-го отдела ГУГБ Комиссар ГБ)","Сталин, Молотов, Каганович","1","1","1","1","1","1","1","1"
"5","1","6","0000-00-00","5 апреля 1937 г.","8","1","Омская область","","1","1","1","10","33","1","","0","Курский (нач.4-го отдела ГУГБ НКВД Комиссар ГБ 3 ранга)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"6","1","7","0000-00-00","5 апреля 1937 г.","9","1","Красноярский край","","1","1","1","81","52","22","","0","Курский (нач.4-го отдела ГУГБ НКВД Комиссар ГБ 3 ранга)","Сталин, Молотов, Каганович, Жданов, Ворошилов","1","1","1","1","1","1","1","1"
"7","1","8","0000-00-00","5 апреля 1937 г.","10","1","Горьковская область","","1","1","1","23","29","20","","0","Курский (нач.4-го отдела ГУГБ НКВД Комиссар ГБ 3 ранга)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"8","1","9","0000-00-00","19 апреля 1937 г.","11","1","Западно-Сибирский край","","1","1","1","58","21","4","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Каганович, Ворошилов, Жданов","1","1","1","1","1","1","1","1"
"9","1","10","0000-00-00","23 апреля 1937 г.","12","1","Азово-Черноморский край","","1","1","1","133","40","2","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"10","1","11","0000-00-00","23 апреля 1937 г.","13","1","Баку","","1","1","1","39","17","2","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"11","1","12","0000-00-00","28 апреля 1937 г.","14","1","Орджоникидзевский край","","1","1","1","136","20","2","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Молотов, Каганович, Ворошилов (За тем, чтобы ????????) * железнодорожники","1","1","1","1","1","1","1","1"
"12","1","13","0000-00-00","6 мая 1937 г.","15","1","г.Ленинград","","1","1","1","33","27","3","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"13","1","14","0000-00-00","15 мая 1937 г.","16","1","Москва-центр","","1","1","1","79","47","3","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Молотов, Каганович, Ворошилов, Ежов","1","1","1","1","1","1","1","1"
"14","1","15","0000-00-00","15 мая 1937 г.","17","1","Московская область","","1","1","1","32","13","1","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Молотов, Каганович, Ворошилов, Ежов","1","1","1","1","1","1","1","1"
"15","1","16","0000-00-00","31 мая 1937 г.","18","1","Московская область","","1","0","0","19","0","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин","1","1","1","1","1","1","1","1"
"16","1","17","0000-00-00","31 мая 1937 г.","19","1","Грузинская ССР","","1","1","0","139","35","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов","1","1","1","1","1","1","1","1"
"17","1","18","0000-00-00","14 июня 1937 г.","20","1","Москва-центр","","1","1","0","56","8","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Ворошилов","1","1","1","1","1","1","1","1"
"18","1","19","0000-00-00","14 июня 1937 г.","21","1","Орджоникидзевский край","","1","1","0","108","24","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Ворошилов","1","1","1","1","1","1","1","1"
"19","1","20","0000-00-00","14 июня 1937 г.","22","1","Украинская ССР","","1","1","0","87","46","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Ворошилов","1","1","1","1","1","1","1","1"
"20","1","21","0000-00-00","14 июня 1937 г.","23","1","Свердловская область","","1","1","0","66","15","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Ворошилов","1","1","1","1","1","1","1","1"
"21","1","22","0000-00-00","14 июня 1937 г.","24","1","Московская область","","1","1","0","132","22","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Ворошилов","1","1","1","1","1","1","1","1"
"22","1","23","0000-00-00","16 июня 1937 г.","25","1","Список лиц (представлен НКВД СССР - Бельский)","","1","0","0","33","0","0","","0","Бельский (зам.Наркома ВД СССР комиссар ГБ 2 ранга)","Сталин, Молотов, Жданов, Ежов","1","1","1","1","1","1","1","1"
"23","1","24","0000-00-00","25 июня 1937 г.","26","1","Армения","","1","1","1","11","9","1","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"24","1","25","0000-00-00","25 июня 1937 г.","27","1","Украинская ССР","","1","1","1","60","25","1","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"25","1","26","0000-00-00","26 июня 1937 г.","28","1","Украинская ССР","","1","1","0","24","4","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"26","1","27","0000-00-00","26 июня 1937 г.","29","1","Московская область","","1","1","0","22","1","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"27","1","28","0000-00-00","26 июня 1937 г.","30","1","Грузинская ССР","","1","0","0","73","0","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Каганович, Ворошилов, Микоян","1","1","1","1","1","1","1","1"
"28","1","29","0000-00-00","26 июня 1937 г.","31","1","Москва-центр","","1","1","0","102","5","0","","0","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Каганович, Ворошилов, Жданов, Микоян","1","1","1","1","1","1","1","1"
"29","2","34","0000-00-00","10 июля 1937 г.","38","1","Украинская ССР","","1","1","0","9","2","0","","0","Цесарский (нач.8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов","1","1","1","1","1","1","1","1"
"30","2","35","0000-00-00","10 июля 1937 г.","39","1","г.Хабаровск","","1","1","0","22","1","0","","0","Цесарский (нач.8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов","1","1","1","1","1","1","1","1"
"31","2","36","0000-00-00","10 июля 1937 г.","40","1","Калининская обл.","","1","1","0","16","4","0","","0","Цесарский (нач.8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов","1","1","1","1","1","1","1","1"
"32","2","38","0000-00-00","13 июля 1937 г.","42","1","Ленинградская обл.","","1","1","0","97","24","0","","0","Цесарский (нач.8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Жданов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"33","2","39","0000-00-00","20 июля 1937 г.","43","1","Челябинская обл.","","1","1","1","29","9","1","","0","Гендин (зам.нач. 4 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"34","2","42","0000-00-00","25 июля 1937 г.","46","1","Свердловская обл.","","1","1","0","56","6","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов","1","1","1","1","1","1","1","1"
"35","2","43","0000-00-00","25 июля 1937 г.","47","1","Азово-Черноморский край","","1","1","0","157","34","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов","1","1","1","1","1","1","1","1"
"36","2","44","0000-00-00","25 июля 1937 г.","48","1","Москва-центр","","1","1","0","3","1","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов","1","1","1","1","1","1","1","1"
"37","2","48","0000-00-00","31 июля 1937 г.","52","1","Свердловская обл.","","1","1","0","68","2","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Каганович, Жданов, Ворошилов","1","1","1","1","1","1","1","1"
"38","2","49","0000-00-00","31 июля 1937 г.","53","1","Ленинградская обл.","","1","1","0","34","9","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Каганович, Жданов, Ворошилов","1","1","1","1","1","1","1","1"
"39","2","50","0000-00-00","31 июля 1937 г.","54","1","Дальне-Восточный край","","1","0","0","66","0","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Каганович, Жданов, Ворошилов","1","1","1","1","1","1","1","1"
"40","2","51","0000-00-00","10 августа 1937 г.","55","1","Казахская ССР","","1","1","0","30","8","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Ворошилов, Молотов, Каганович","1","1","1","1","1","1","1","1"
"41","2","52","0000-00-00","10 августа 1937 г.","56","1","Ленинградская обл.","","1","1","0","63","7","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Ворошилов, Молотов, Каганович","1","1","1","1","1","1","1","1"
"42","2","54","0000-00-00","10 августа 1937 г.","58","1","Дальне-Восточный край","","1","0","0","146","0","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Ворошилов, Молотов, Каганович","1","1","1","1","1","1","1","1"
"43","2","55","0000-00-00","10 августа 1937 г.","59","1","Свердловская обл.","","1","1","0","58","12","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Ворошилов, Молотов, Каганович","1","1","1","1","1","1","1","1"
"44","2","57","0000-00-00","10 августа 1937 г.","61","1","Грузинская ССР","","1","1","0","425","130","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Каганович","1","1","1","1","1","1","1","1"
"45","2","58","0000-00-00","14 августа 1937 г.","62","1","Список лиц","","1","0","0","25","0","0","","0","Фриновский (зам.Народного Комиссара ВД - Комкор)","Сталин, Молотов","1","1","1","1","1","1","1","1"
"46","2","60","0000-00-00","20 августа 1937 г.","64","1","Сталинградская обл.","","1","1","0","50","14","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Каганович, Ворошилов, Молотов","1","1","1","1","1","1","1","1"
"47","2","61","0000-00-00","20 августа 1937 г.","65","1","Ленинградская обл.","","1","1","0","68","11","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Каганович, Ворошилов, Молотов","1","1","1","1","1","1","1","1"
"48","2","62","0000-00-00","20 августа 1937 г.","66","1","Москва-центр","","1","0","0","49","0","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Каганович, Ворошилов, Молотов","1","1","1","1","1","1","1","1"
"49","2","63","0000-00-00","20 августа 1937 г.","67","1","Оренбургская обл.","","1","1","0","100","6","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Каганович, Ворошилов, Молотов","1","1","1","1","1","1","1","1"
"50","2","67","0000-00-00","31 августа 1937 г.","71","1","Москва-центр","","1","0","0","8","0","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Ворошилов, Жданов, Каганович","1","1","1","1","1","1","1","1"
"51","2","69","0000-00-00","31 августа 1937 г.","73","1","Ярославская обл.","","1","1","0","28","5","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Ворошилов, Жданов, Каганович","1","1","1","1","1","1","1","1"
"52","2","70","0000-00-00","31 августа 1937 г.","74","1","Ленинградская обл.","","1","1","0","63","13","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Ворошилов, Жданов, Каганович","1","1","1","1","1","1","1","1"
"53","2","71","0000-00-00","31 августа 1937 г.","75","1","Оренбургская обл.","","1","1","0","189","10","0","","0","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","Сталин, Молотов, Ворошилов, Жданов, Каганович","1","1","1","1","1","1","1","1"
"54","4","106","0000-00-00","21 октября 1937г.","79","1","Западно-Сибирский край","","1","1","0","36","10","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"55","4","107","0000-00-00","21 октября 1937г.","80","1","Восточно-Сибирская область","","1","1","0","80","15","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"56","4","108","0000-00-00","21 октября 1937г.","81","1","Белорусская ССР","","1","0","0","56","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов, Микоян","1","1","1","1","1","1","1","1"
"57","4","109","0000-00-00","21 октября 1937г.","82","1","Грузинская ССР","","1","0","0","330","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"58","4","110","0000-00-00","21 октября 1937г.","83","1","Украинская ССР","","1","1","0","141","11","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов,Микоян","1","1","1","1","1","1","1","1"
"59","4","111","0000-00-00","21 октября 1937г.","84","1","Украинская ССР","","1","1","0","198","7","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов,Микоян","1","1","1","1","1","1","1","1"
"60","4","114","0000-00-00","27 октября 1937г.","87","1","Украинская ССР","","1","0","0","8","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"61","4","115","0000-00-00","27 октября 1937г.","88","1","Москва-центр","","1","0","0","14","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"62","4","116","0000-00-00","27 октября 1937г.","89","1","Новосибирская область","","1","1","0","48","3","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"63","4","117","0000-00-00","27 октября 1937г.","90","1","Ростовская область","","1","1","0","229","26","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"64","4","118","0000-00-00","27 октября 1937г.","91","1","Москва-центр","","1","1","0","12","2","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"65","4","121","0000-00-00","1 ноября 1937г.","94","1","Белорусская ССР","","1","0","0","40","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"66","4","122","0000-00-00","13 ноября 1937г.","95","1","Ростовская область","","1","0","0","18","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"67","4","124","0000-00-00","13 ноября 1937г.","97","1","Ивановская область","","1","1","0","84","21","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Ворошилов","1","1","1","1","1","1","1","1"
"68","4","125","0000-00-00","13 ноября 1937г.","98","1","Орджоникидзевский край","","1","1","0","60","9","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Каганович,Молотов,Ворошилов","1","1","1","1","1","1","1","1"
"69","4","126","0000-00-00","13 ноября 1937г.","99","1","Ленинградская область","","1","1","0","133","5","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"70","4","127","0000-00-00","13 ноября 1937г.","100","1","Москва-центр","","1","0","0","16","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Каганович,Молотов,Ворошилов","1","1","1","1","1","1","1","1"
"71","4","129","0000-00-00","13 ноября 1937г.","102","1","Ярославская область","","1","1","0","44","6","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Ворошилов","1","1","1","1","1","1","1","1"
"72","4","130","0000-00-00","13 ноября 1937г.","103","1","Смоленская область","","1","1","0","54","3","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"73","4","131","0000-00-00","13 ноября 1937г.","104","1","Башкирская АССР","","1","1","0","31","9","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"74","4","132","0000-00-00","13 ноября 1937г.","105","1","Свердловская область","","1","1","0","71","5","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"75","4","133","0000-00-00","13 ноября 1937г.","106","1","Челябинская область","","1","1","0","121","2","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Каганович,Молотов","1","1","1","1","1","1","1","1"
"76","5","135","0000-00-00","13 ноября 1937г.","110","1","Моква-центр","","1","1","0","47","1","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"77","5","136","0000-00-00","22 ноября 1937г.","111","1","Грузинская ССР","","1","0","0","439","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"78","5","138","0000-00-00","22 ноября 1937г.","113","1","Оренбургская область","","1","0","0","67","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"79","5","139","0000-00-00","22 ноября 1937г.","114","1","Казахская ССР","","1","1","0","51","5","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"80","5","146","0000-00-00","22 ноября 1937г.","121","1","Армянская ССР","","1","0","0","7","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"81","5","149","0000-00-00","7 декабря 1937г.","124","1","Москва-центр","","1","0","0","12","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"82","5","153","0000-00-00","7 декабря 1937г.","128","1","Казахская ССР","","1","1","0","55","5","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"83","5","154","0000-00-00","7 декабря 1937г.","129","1","Азербайджанская ССР","","1","1","0","315","22","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Жданов,Молотов","1","1","1","1","1","1","1","1"
"84","5","155","0000-00-00","7 декабря 1937г.","130","1","Белорусская ССР","","1","1","0","101","3","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"85","5","156","0000-00-00","7 декабря 1937г.","131","1","Сталинградская область","","1","1","0","95","14","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"86","5","158","0000-00-00","7 декабря 1937г.","133","1","Оренбургская область","","1","1","0","88","1","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"87","5","160","0000-00-00","7 декабря 1937г.","135","1","Ленинградская область","","1","1","0","168","30","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"88","5","161","0000-00-00","7 декабря 1937г.","136","1","Москва-центр","","1","1","0","272","27","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Жданов","1","1","1","1","1","1","1","1"
"89","5","164","0000-00-00","13 декабря 1937г.","139","1","Сталинградская область","","1","1","0","57","7","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Ворошилов","1","1","1","1","1","1","1","1"
"90","5","165","0000-00-00","13 декабря 1937г.","140","1","Ивановская область","","1","1","0","35","8","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Ворошилов","1","1","1","1","1","1","1","1"
"91","5","167","0000-00-00","22 декабря 1937г.","142","1","Оренбургская область","","1","1","0","177","4","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"92","5","168","0000-00-00","22 декабря 1937г.","143","1","Москва-центр","","1","0","0","4","0","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"93","5","169","0000-00-00","22 декабря 1937г.","144","1","Азербайджанская ССР","","1","1","0","90","14","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"94","5","170","0000-00-00","22 декабря 1937г.","145","1","Казахская ССР","","1","1","0","99","10","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"95","5","172","0000-00-00","22 декабря 1937г.","147","1","Свердловская область","","1","1","0","50","8","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"96","5","173","0000-00-00","22 декабря 1937г.","148","1","Саратовская область","","1","1","0","170","44","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"97","5","174","0000-00-00","22 декабря 1937г.","149","1","Воронежская область","","1","1","0","119","28","0","","0","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов,Каганович,Ворошилов","1","1","1","1","1","1","1","1"
"98","5","176","0000-00-00","","151","1","Список","","1","0","0","150","0","0","","0","","Молотов ???","1","1","1","1","1","1","1","1"
"99","9","2","0000-00-00","10.VI.38г.","156","1","Челябинская область","","1","1","0","92","4","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"100","9","3","0000-00-00","10.VI.38г.","157","1","Челябинская область","","1","1","0","20","5","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"101","9","5","0000-00-00","10.VI.38г.","159","1","Украинская ССР","","1","1","0","53","9","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"102","9","6","0000-00-00","10.VI.38г.","160","1","Сталинградская область","","1","1","0","163","20","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"103","9","7","0000-00-00","10.VI.38г.","161","1","Свердловская область","","1","1","0","74","8","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"104","9","9","0000-00-00","10.VI.38г.","163","1","Гор.Ростов н/Д- ж.д.им.Ворошилова","","1","1","0","51","7","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"105","9","10","0000-00-00","10.VI.38г.","164","1","Москва-центр","","1","0","0","4","0","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"106","9","11","0000-00-00","10.VI.38г.","165","1","Москва-центр","","1","0","0","1","0","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"107","9","12","0000-00-00","10.VI.38г.","166","1","Ростовская область","","1","1","0","189","41","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"108","9","13","0000-00-00","10.VI.38г.","167","1","Гор.Орджоникидзе-Орджоникидзевская ж.д.","","1","1","0","56","72","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"109","9","14","0000-00-00","10.VI.38г.","168","1","Омская область","","1","1","0","59","13","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
"110","9","15","0000-00-00","10.VI.38г.","169","1","Омская область","","1","1","0","13","1","0","","0","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","Сталин,Молотов","1","1","1","1","1","1","1","1"
